"","zpid","latlon","street","zipcode","city","state","bedrooms","bathrooms","finishedSqFt","yearBuilt","price","rent","tax.year","tax","hoa","lat","lon"
"456",54854595,"[""37.767714"",""-122.42575""]","565 14th St APT 1",94103,"San Francisco","CA","2","1","1070","1924","1,167,700","4500",NA,"202594","500",37.767714,-122.42575
"457",59779663,"[""37.767836"",""-122.422803""]","425 14th St APT 1",94103,"San Francisco","CA","3","2","1307","2001","1,167,700","5500",NA,"784037","500",37.767836,-122.422803
"458",89239534,"[""37.7677"",""-122.425956""]","575 14th St APT 1",94103,"San Francisco","CA","UNKNOWN","1","993","1925","1,167,700","4450",NA,"203055","500",37.7677,-122.425956
"459",2098123820,"[""37.767762"",""-122.432002""]","834 14th St APT 1",94114,"San Francisco","CA","1","1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",NA,"UNKNOWN","500",37.767762,-122.432002
"460",2119340098,"[""37.76736"",""-122.437088""]","1056 14th St APT 1",94114,"San Francisco","CA","2","1.5","UNKNOWN","UNKNOWN","1,470,700","3700",NA,"UNKNOWN","500",37.76736,-122.437088
"461",2122601573,"[""37.768348"",""-122.419733""]","292 14th St APT 1",94103,"San Francisco","CA","1","1","UNKNOWN","UNKNOWN","1,167,700","2900",NA,"UNKNOWN","500""zpid""",37.768348,-122.419733
"462",89240534,"[""37.770378"",""-122.400993""]","888 7th St # L09",94107,"San Francisco","CA","1","1","714","2007","957,300","3495",NA,"428588","500""zpid""",37.770378,-122.400993
"463",89237211,"[""37.770378"",""-122.400993""]","888 7th St # L03",94107,"San Francisco","CA","3","2","1239","2007","957,300","4500",NA,"350876","500""zpid""",37.770378,-122.400993
"464",2098194876,"[""37.764803"",""-122.459175""]","1275 2nd Ave APT 03",94122,"San Francisco","CA","1","1","850","UNKNOWN","1,348,400","UNKNOWN",NA,"UNKNOWN","500""zpid""",37.764803,-122.459175
"465",15145526,"[""37.75788"",""-122.427484""]","3881 20th St # 1",94114,"San Francisco","CA","3","2","1739","1995","1,718,500","6012",NA,"730715","500",37.75788,-122.427484
"466",15150530,"[""37.759533"",""-122.400651""]","1919 20th St APT 1",94107,"San Francisco","CA","1","1","760","1963","1,264,000","3595",NA,"614692","500",37.759533,-122.400651
"467",49815164,"[""37.758479"",""-122.417373""]","3415 20th St APT 1",94110,"San Francisco","CA","UNKNOWN","UNKNOWN","1019","2000","1,167,700","4450",NA,"699460","500",37.758479,-122.417373
"468",61325283,"[""37.758632"",""-122.416126""]","3365 20th St APT 1",94110,"San Francisco","CA","3","3","2015","2002","1,167,700","6500",NA,"928972","500",37.758632,-122.416126
"469",64966834,"[""37.758243"",""-122.42171""]","3615 20th St APT 1",94110,"San Francisco","CA","3","2.5","1429","2003","1,167,700","6500",NA,"1509570","500",37.758243,-122.42171
"470",64972380,"[""37.757821"",""-122.435679""]","4250 20th St # 1",94114,"San Francisco","CA","1","1","685","1908","1,718,500","3680",NA,"146122","500",37.757821,-122.435679
