zpid,latlon,street,zipcode,city,state,bedrooms,bathrooms,finishedSqFt,yearBuilt,price,rent,tax year,tax,hoa
2101127479,"[""37.78408"",""-122.4756""]",205 16th Ave APT 4,94118,San Francisco,CA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1,480,400",3195,,UNKNOWN,"500""zpid"""
15143312,"[""37.764984"",""-122.425208""]",3250 16th St APT 3,94103,San Francisco,CA,2,1,1041,1983,"1,167,700",4000,,175071,500
15143319,"[""37.764979"",""-122.425445""]",3256 16th St APT 3,94103,San Francisco,CA,1,1,753,1983,"1,167,700",3495,,159892,500
64969131,"[""37.764695"",""-122.429561""]",3444 16th St # 3,94114,San Francisco,CA,3,3,2200,2000,"1,718,500",6750,,1340160,500
80747255,"[""37.766197"",""-122.39656""]",999 16th St APT 3,94107,San Francisco,CA,UNKNOWN,UNKNOWN,1760,1998,"1,264,000",4900,,910446,500
2109121521,"[""37.76506"",""-122.4236""]",3178 16th St APT 3,94103,San Francisco,CA,2,1,UNKNOWN,UNKNOWN,"1,167,700",4900,,UNKNOWN,500
2109245688,"[""37.764484"",""-122.424705""]",3227 16th St APT 3,94103,San Francisco,CA,2,1,UNKNOWN,UNKNOWN,"1,167,700",4500,,UNKNOWN,500
2115900715,"[""37.764823"",""-122.42704""]",3322 16th St APT 3,94114,San Francisco,CA,2,1,850,1907,"1,167,700",4200,,UNKNOWN,500
2127724738,"[""37.76403"",""-122.432395""]",3571 16th St APT 3,94114,San Francisco,CA,UNKNOWN,1,UNKNOWN,UNKNOWN,"1,718,500",2799,,UNKNOWN,"500""zpid"""
59700362,"[""37.770771"",""-122.413081""]",374 11th St UNIT 5,94103,San Francisco,CA,2,2.5,1771,2001,"957,300",5500,,1001620,500
2125397706,"[""37.772533"",""-122.41529""]",230 11th St APT 5,94103,San Francisco,CA,1,1,UNKNOWN,UNKNOWN,"957,300",2895,,UNKNOWN,"500""zpid"""
15095037,"[""37.777174"",""-122.470631""]",595 12th Ave APT 8,94118,San Francisco,CA,1,1,820,1926,"1,679,000",3500,,253127,"500""zpid"""
80732368,"[""37.770238"",""-122.414041""]",358 12th St # 4,94103,San Francisco,CA,UNKNOWN,UNKNOWN,684,1997,"957,300",3995,,77814,"500""zpid"""
80743080,"[""37.770236"",""-122.414039""]",3588 12TH St STE 6,94103,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,693,1997,"957,300",3999,,77814,"500""zpid"""
15095036,"[""37.777174"",""-122.470631""]",595 12th Ave APT 7,94118,San Francisco,CA,1,1,447,1926,"1,679,000",2995,,319403,"500""zpid"""
15095034,"[""37.777174"",""-122.470631""]",595 12th Ave APT 5,94118,San Francisco,CA,1,1,800,1926,"1,679,000",3600,,568656,"500""zpid"""
15095035,"[""37.777174"",""-122.470631""]",595 12th Ave APT 6,94118,San Francisco,CA,UNKNOWN,1,447,1926,"1,679,000",3895,,167294,"500""zpid"""
80752923,"[""37.770238"",""-122.414041""]",358 12th St # 1,94103,San Francisco,CA,UNKNOWN,UNKNOWN,1445,1997,"957,300",4775,,164142,"500""zpid"""
80731097,"[""37.770238"",""-122.414041""]",358 12th St # 2,94103,San Francisco,CA,UNKNOWN,UNKNOWN,877,1997,"957,300",4199,,99042,"500""zpid"""
82958179,"[""37.645871"",""-122.453948""]",2230 Gellert Blvd # 3P03,94080,South San Francisco,CA,2,2,1026,2007,"812,000",3300,,567883,"500""zpid"""
15095031,"[""37.777174"",""-122.470631""]",595 12th Ave APT 2,94118,San Francisco,CA,0,1,447,1926,"1,679,000",3090,,327874,500
63196958,"[""37.785501"",""-122.470718""]",130 12th Ave # 2,94118,San Francisco,CA,3,2,2010,2003,"2,202,400",6200,,1339353,500
69819023,"[""37.785295"",""-122.470702""]",156 12th Ave # 2,94118,San Francisco,CA,3,3,2164,2005,"2,202,400",7000,,2034860,500
116157726,"[""37.765453"",""-122.469429""]",1210 12th Ave APT 2,94122,San Francisco,CA,UNKNOWN,UNKNOWN,667,UNKNOWN,"1,348,400",4150,,426394,"500""zpid"""
15089234,"[""37.786585"",""-122.471309""]",3 12th Ave # 3,94118,San Francisco,CA,3,2,2060,1922,"2,202,400",7000,,1672155,500
15091276,"[""37.783985"",""-122.47062""]",226 12th Ave # 3,94118,San Francisco,CA,UNKNOWN,5,3410,1881,"1,679,000",5950,,661125,500
15095032,"[""37.777174"",""-122.470631""]",595 12th Ave APT 3,94118,San Francisco,CA,UNKNOWN,1,447,1926,"1,679,000",3950,,483248,500
116156572,"[""37.765482"",""-122.469592""]",1210 12th Ave APT 3,94122,San Francisco,CA,UNKNOWN,UNKNOWN,667,UNKNOWN,"1,348,400",4070,,520188,500
2101613972,"[""37.774837"",""-122.470106""]",700 12th Ave APT 3,94118,San Francisco,CA,3,2,UNKNOWN,1921,"1,679,000",3995,,UNKNOWN,"500""zpid"""
15095033,"[""37.777171"",""-122.470634""]",595 12th Ave APT 4,94118,San Francisco,CA,1,1,820,1926,"1,679,000",3800,,636752,500
116157071,"[""37.765482"",""-122.469592""]",1210 12th Ave APT 4,94122,San Francisco,CA,UNKNOWN,UNKNOWN,667,UNKNOWN,"1,348,400",4150,,279213,500
2098879436,"[""37.764605"",""-122.469242""]",1262 12th Ave APT 4,94122,San Francisco,CA,2,1,1000,1961,"1,348,400",UNKNOWN,,UNKNOWN,500
2113522014,"[""37.781532"",""-122.471092""]",361 12th Ave APT 4,94118,San Francisco,CA,2,1,UNKNOWN,UNKNOWN,"1,679,000",3532,,UNKNOWN,"500""zpid"""
2107010686,"[""37.76276"",""-122.47395""]",1345 16th Ave APT 2,94122,San Francisco,CA,1,1,UNKNOWN,1924,"1,348,400",4200,,UNKNOWN,500
2122256557,"[""37.784076"",""-122.47557""]",205 16th Ave APT 2,94118,San Francisco,CA,2,1,UNKNOWN,UNKNOWN,"1,480,400",3250,,UNKNOWN,"500""zpid"""
2104800282,"[""37.76453"",""-122.479011""]",1240 21st Ave APT 6,94122,San Francisco,CA,2,1,UNKNOWN,UNKNOWN,"1,111,300",3400,,UNKNOWN,500
2117058268,"[""37.781097"",""-122.480834""]",359 21st Ave APT 6,94121,San Francisco,CA,2,1,UNKNOWN,UNKNOWN,"1,480,400",4200,,UNKNOWN,"500""zpid"""
53153353,"[""37.744182"",""-122.478252""]",2331 21st Ave # 2,94116,San Francisco,CA,4,2,1452,1998,"1,094,000",4675,,900000,500
2102087308,"[""37.76454"",""-122.479""]",1240 21st Ave APT 2,94122,San Francisco,CA,2,1,UNKNOWN,UNKNOWN,"1,111,300",3400,,UNKNOWN,"500""zpid"""
15090250,"[""37.784373"",""-122.479848""]",195 20th Ave APT 6,94121,San Francisco,CA,1,1,456,1993,"2,202,400",2995,,384228,500
2101174564,"[""37.7614"",""-122.4782""]",1401 20th Ave APT 6,94122,San Francisco,CA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1,111,300",3100,,UNKNOWN,500
2102891239,"[""37.76205"",""-122.4784""]",1381 20th Ave APT 6,94122,San Francisco,CA,2,1,UNKNOWN,UNKNOWN,"1,111,300",3400,,UNKNOWN,"500""zpid"""
79846668,"[""37.762081"",""-122.389007""]",638 19th St UNIT 6,94107,San Francisco,CA,3,2,1615,2010,"1,124,600",6000,,730204,500
89238656,"[""37.760635"",""-122.424362""]",3620 19th St APT 6,94110,San Francisco,CA,2,2,1280,2008,"1,167,700",5500,,985752,500
2113066926,"[""37.75978"",""-122.423133""]",3579 19th St APT 6,94110,San Francisco,CA,1,1,725,UNKNOWN,"1,167,700",3400,,UNKNOWN,"500""zpid"""
79842958,"[""37.762081"",""-122.389007""]",638 19th St UNIT 7,94107,San Francisco,CA,3,2,1481,2007,"1,124,600",6150,,755792,500
89239021,"[""37.760635"",""-122.424362""]",3620 19th St APT 7,94110,San Francisco,CA,2,2.5,1319,2008,"1,167,700",6100,,1218262,500
2105976729,"[""37.75973"",""-122.4288""]",3822 19th St APT 7,94114,San Francisco,CA,2,2,UNKNOWN,UNKNOWN,"1,718,500",5100,,UNKNOWN,"500""zpid"""
15127574,"[""37.762735"",""-122.43856""]",4150 17th St APT 9,94114,San Francisco,CA,2,2,1868,1994,"1,449,300",5500,,912924,500
15144033,"[""37.763173"",""-122.420047""]",3321 17th St APT 9,94110,San Francisco,CA,UNKNOWN,1,312,1925,"1,167,700",3650,,73517,500
59779948,"[""37.765014"",""-122.394343""]",1025 17th St APT 9,94107,San Francisco,CA,UNKNOWN,2,1234,1999,"1,264,000",4500,,661280,"500""zpid"""
15127572,"[""37.762735"",""-122.43856""]",4150 17th St APT 7,94114,San Francisco,CA,2,2,625,1994,"1,449,300",4495,,950810,500
